Time [s],Gauge Pressure [cmH2O],Inspiratory differenrtial pressure [cmH2O],Expiratory differenrtial pressure [cmH2O]
0,-4.34483610855142,0.643679423489099,-0.10727990391485
0.0214179999999971,-4.24828419502805,0.622223442706129,-0.12873588469782
0.0244599999999977,-4.16246027189617,0.622223442706129,-0.12873588469782
0.0283969999999982,-4.4306600316833,0.643679423489099,-0.12873588469782
0.0413169999999994,-4.28046816620251,0.622223442706129,-0.12873588469782
0.0494860000000017,-4.34483610855142,0.643679423489099,-0.10727990391485
0.057853999999999,-4.46284400285775,0.675863394663554,-0.12873588469782
0.0702390000000008,-4.46284400285775,0.761687317795434,-0.12873588469782
0.0802319999999952,-4.4306600316833,0.643679423489099,-0.10727990391485
0.0904960000000017,-4.30192414698548,0.590039471531674,-0.160919855872275
0.100018999999996,-4.37702007972587,0.590039471531674,-0.10727990391485
0.111190000000001,-4.16246027189617,0.675863394663554,-0.160919855872275
0.117610999999997,-4.16246027189617,0.568583490748704,-0.10727990391485
0.131341999999997,-4.2161002238536,0.536399519574249,-0.12873588469782
0.140380999999998,-4.2161002238536,0.622223442706129,-0.160919855872275
0.148541000000002,-4.16246027189617,0.622223442706129,-0.12873588469782
0.157536999999998,-4.16246027189617,0.590039471531674,-0.10727990391485
0.169171999999996,-4.19464424307063,0.622223442706129,-0.12873588469782
0.178235999999998,-3.94790046406647,0.590039471531674,-0.12873588469782
0.189136999999995,-3.89426051210905,0.622223442706129,-0.10727990391485
0.198411999999998,-4.16246027189617,0.536399519574249,-0.10727990391485
0.210152999999998,-4.07663634876429,0.504215548399794,-0.160919855872275
0.218604999999997,-4.04445237758984,0.622223442706129,-0.160919855872275
0.229943999999996,-3.91571649289202,0.643679423489099,-0.10727990391485
0.241838999999999,-3.99081242563241,0.590039471531674,-0.12873588469782
0.248452999999998,-3.79770859858569,0.568583490748704,-0.12873588469782
0.257598999999999,-3.74406864662826,0.622223442706129,-0.12873588469782
0.269176000000002,-4.04445237758984,0.568583490748704,-0.10727990391485
0.278320000000001,-3.99081242563241,0.590039471531674,-0.12873588469782
0.289296999999998,-4.16246027189617,0.568583490748704,-0.160919855872275
0.298392,-4.16246027189617,0.643679423489099,-0.10727990391485
0.309669,-3.94790046406647,0.590039471531674,-0.12873588469782
0.318294000000002,-4.19464424307063,0.590039471531674,-0.10727990391485
0.329141999999997,-3.79770859858569,0.622223442706129,-0.10727990391485
0.337730999999998,-3.91571649289202,0.675863394663554,-0.12873588469782
0.349446999999998,-4.19464424307063,0.590039471531674,-0.160919855872275
0.361188999999996,-4.04445237758984,0.590039471531674,-0.12873588469782
0.370289,-3.91571649289202,0.622223442706129,-0.0750959327403949
0.379390999999998,-3.91571649289202,0.590039471531674,-0.12873588469782
0.388442999999995,-4.10882031993875,0.568583490748704,-0.12873588469782
0.400144999999995,-3.99081242563241,0.568583490748704,-0.12873588469782
0.408847000000002,-4.16246027189617,0.568583490748704,-0.10727990391485
0.420383999999999,-4.16246027189617,0.590039471531674,-0.0750959327403949
0.429139999999997,-4.16246027189617,0.590039471531674,-0.19310382704673
0.440888000000001,-4.10882031993875,0.568583490748704,-0.160919855872275
0.450066,-4.10882031993875,0.697319375446524,-0.12873588469782
0.458998000000001,-4.16246027189617,0.675863394663554,-0.160919855872275
0.467804999999998,-4.10882031993875,0.536399519574249,-0.10727990391485
0.479500000000002,-4.2161002238536,0.590039471531674,-0.10727990391485
0.488537000000001,-4.16246027189617,0.675863394663554,-0.10727990391485
0.500211999999998,-4.10882031993875,0.622223442706129,-0.10727990391485
0.506673999999997,-3.94790046406647,0.590039471531674,-0.12873588469782
0.520426,-4.01226840641538,0.568583490748704,-0.10727990391485
0.529564999999998,-4.01226840641538,0.590039471531674,-0.12873588469782
0.541399999999996,-4.07663634876429,0.590039471531674,-0.10727990391485
0.547936999999997,-4.07663634876429,0.622223442706129,-0.160919855872275
0.559430999999996,-3.94790046406647,0.675863394663554,-0.12873588469782
0.570855000000002,-4.13027630072172,0.622223442706129,-0.10727990391485
0.580441,-4.04445237758984,0.622223442706129,-0.10727990391485
0.587043999999999,-4.10882031993875,0.643679423489099,-0.10727990391485
0.600645999999998,-4.19464424307063,0.568583490748704,-0.160919855872275
0.607054999999995,-4.34483610855142,0.622223442706129,-0.12873588469782
0.620979999999996,-4.16246027189617,0.622223442706129,-0.10727990391485
0.627797999999999,-3.89426051210905,0.568583490748704,-0.10727990391485
0.639085000000001,-4.16246027189617,0.536399519574249,-0.12873588469782
0.648105000000001,-4.16246027189617,0.622223442706129,-0.12873588469782
0.6599,-4.10882031993875,0.568583490748704,-0.160919855872275
0.668092999999999,-3.77625261780272,0.536399519574249,-0.12873588469782
0.677205999999998,-3.77625261780272,0.504215548399794,-0.12873588469782
0.688319,-3.5724208003645,0.536399519574249,-0.12873588469782
0.700074000000001,-3.48659687723262,0.482759567616824,-0.10727990391485
0.709148999999996,-3.5724208003645,0.375479663701974,-0.10727990391485
0.719882999999996,-3.33640501175183,0.429119615659399,-0.12873588469782
