Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,9.17243178471966,-0.242849512660806,0,658,78
0.01,9.20461575589412,-0.242849512660806,-0.00242849512660806,1969,0
0.02,9.20461575589412,-0.242849512660806,-0.00485699025321612,0,0
0.03,9.22607173667709,-0.307772604848743,-0.00761010084076386,0,0
0.04,9.20461575589412,-0.242849512660806,-0.0103632114283116,0,0
0.05,9.20461575589412,-0.307772604848743,-0.0131163220158593,0,0
0.06,9.22607173667709,-0.307772604848743,-0.0161940480643468,0,0
0.07,9.25825570785154,-0.242849512660806,-0.0189471586518945,0,0
0.08,9.31189565980897,-0.307772604848743,-0.0217002692394423,0,0
0.09,9.34407963098342,-0.307772604848743,-0.0247779952879297,0,0
0.1,9.290439679026,-0.307772604848743,-0.0278557213364171,0,0
0.11,9.25825570785154,-0.187466864989695,-0.0303319186856093,0,0
0.12,9.22607173667709,-0.242849512660806,-0.0324835005738618,0,0
0.13,9.22607173667709,-0.187466864989695,-0.0346350824621143,0,0
0.14,9.17243178471966,-0.307772604848743,-0.0371112798113065,0,0
0.15,9.09733585197927,-0.307772604848743,-0.0401890058597939,0,0
0.16,9.12951982315372,-0.242849512660806,-0.0429421164473417,0,0
0.17,9.09733585197927,-0.242849512660806,-0.0453706115739497,0,0
0.18,9.01151192884739,-0.344319672144806,-0.0483064574979778,0,0
0.19,9.01151192884739,-0.307772604848743,-0.0515669188829455,0,0
0.2,9.01151192884739,-0.307772604848743,-0.054644644931433,0,0
0.21,8.92568800571551,-0.307772604848743,-0.0577223709799204,0,0
0.22,8.95787197688996,-0.307772604848743,-0.0608000970284078,0,0
0.23,8.89350403454105,-0.242849512660806,-0.0635532076159556,0,0
0.24,8.8613200633666,-0.152406677359627,-0.0655294885660577,0,0
0.25,8.8613200633666,-0.152406677359627,-0.067053555339654,0,0
0.26,8.82913609219214,-0.152406677359627,-0.0685776221132503,0,0
0.27,8.82913609219214,0.111894124921677,-0.06878018487544,0,0
0.28,8.79695212101769,-0.152406677359627,-0.0689827476376298,0,0
0.29,8.79695212101769,0.111894124921677,-0.0691853103998195,0,0
0.3,8.82913609219214,-0.152406677359627,-0.0693878731620093,0,0
0.31,8.82913609219214,0.111894124921677,-0.0695904359241991,0,0
