Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,16.1241695584019,-0.242849512660806,0,256,65
0.01,16.1563535295764,-0.152406677359627,-0.00197628095010217,826,0
0.02,16.1241695584019,-0.242849512660806,-0.00395256190020433,1255,0
0.03,16.1241695584019,-0.152406677359627,-0.0059288428503065,1811,0
0.04,16.0705296064445,-0.242849512660806,-0.00790512380040867,2179,0
0.05,16.0705296064445,-0.242849512660806,-0.0103336189270167,2623,0
0.06,16.0705296064445,-0.152406677359627,-0.0123098998771189,3055,0
0.07,16.0168896544871,-0.242849512660806,-0.0142861808272211,0,0
0.08,15.9847056833126,-0.242849512660806,-0.0167146759538291,0,0
0.09,15.9847056833126,-0.242849512660806,-0.0191431710804372,0,0
0.1,15.9847056833126,-0.152406677359627,-0.0211194520305393,0,0
0.11,15.9525217121382,-0.152406677359627,-0.0226435188041356,0,0
0.12,15.9310657313552,-0.242849512660806,-0.0246197997542378,0,0
0.13,15.8988817601807,-0.242849512660806,-0.0270482948808459,0,0
0.14,15.8988817601807,-0.242849512660806,-0.0294767900074539,0,0
0.15,15.9310657313552,-0.242849512660806,-0.031905285134062,0,0
0.16,15.8988817601807,-0.152406677359627,-0.0338815660841641,0,0
0.17,15.8345138178318,-0.242849512660806,-0.0358578470342663,0,0
0.18,15.8345138178318,-0.242849512660806,-0.0382863421608744,0,0
0.19,15.8345138178318,-0.152406677359627,-0.0402626231109765,0,0
0.2,15.8345138178318,-0.242849512660806,-0.0422389040610787,0,0
0.21,15.8130578370489,-0.152406677359627,-0.0442151850111809,0,0
0.22,15.8130578370489,-0.242849512660806,-0.046191465961283,0,0
0.23,15.7379619043085,-0.152406677359627,-0.0481677469113852,0,0
0.24,15.7165059235255,-0.152406677359627,-0.0496918136849815,0,0
0.25,15.6843219523511,-0.152406677359627,-0.0512158804585778,0,0
0.26,15.6199540100021,-0.152406677359627,-0.052739947232174,0,0
0.27,15.5984980292192,-0.242849512660806,-0.0547162281822762,0,0
0.28,15.5234020964788,-0.242849512660806,-0.0571447233088843,0,0
0.29,15.4375781733469,0.0245818027557917,-0.0582360618584093,0,0
0.3,15.4375781733469,-0.152406677359627,-0.0588751862314285,0,0
0.31,15.351754250215,-0.242849512660806,-0.0608514671815307,0,0
0.32,15.351754250215,-0.242849512660806,-0.0632799623081387,0,0
0.33,15.2659303270831,-0.152406677359627,-0.0652562432582409,0,0
0.34,15.2659303270831,-0.242849512660806,-0.067232524208343,0,0
0.35,15.2981142982576,-0.242849512660806,-0.0696610193349511,0,0
0.36,15.2659303270831,-0.242849512660806,-0.0720895144615592,0,0
0.37,15.2337463559087,-0.242849512660806,-0.0745180095881672,0,0
0.38,15.2122903751257,-0.287763698423059,-0.0771710756435865,0,0
0.39,15.2122903751257,-0.152406677359627,-0.0793719275225,0,0
0.4,15.1801064039513,-0.152406677359627,-0.0808959942960962,0,0
0.41,15.0942824808194,0.0245818027557917,-0.0815351186691154,0,0
0.42,15.1157384616023,-0.152406677359627,-0.0821742430421346,0,0
0.43,15.0942824808194,-0.152406677359627,-0.0836983098157309,0,0
0.44,15.0299145384705,-0.152406677359627,-0.0852223765893271,0,0
0.45,15.0084585576875,0.111894124921677,-0.0854249393515169,0,0
0.46,14.976274586513,-0.152406677359627,-0.0856275021137067,0,0
0.47,14.976274586513,-0.242849512660806,-0.0876037830638088,0,0
0.48,14.9119066441641,-0.152406677359627,-0.089580064013911,0,0
0.49,14.8904506633812,-0.152406677359627,-0.0911041307875073,0,0
0.5,14.8904506633812,-0.307772604848743,-0.0934050271985491,0,0
0.51,14.8904506633812,-0.242849512660806,-0.0961581377860968,0,0
0.52,14.8260827210323,-0.344319672144806,-0.0990939837101249,0,0
0.53,14.8582666922067,-0.307772604848743,-0.102354445095093,0,0
0.54,14.8582666922067,-0.242849512660806,-0.10510755568264,0,0
0.55,14.8582666922067,-0.242849512660806,-0.107536050809248,0,0
0.56,14.8260827210323,-0.187466864989695,-0.109687632697501,0,0
0.57,14.7509867882919,-0.242849512660806,-0.111839214585753,0,0
0.58,14.7509867882919,-0.307772604848743,-0.114592325173301,0,0
0.59,14.7188028171174,-0.242849512660806,-0.117345435760849,0,0
0.6,14.6866188459429,0.111894124921677,-0.118000212699545,0,0
0.61,14.66516286516,-0.152406677359627,-0.118202775461734,0,0
0.62,14.6007949228111,-0.152406677359627,-0.119726842235331,0,0
0.63,14.6007949228111,0.111894124921677,-0.11992940499752,0,0
0.64,14.5471549708536,-0.152406677359627,-0.12013196775971,0,0
0.65,14.5149709996792,-0.242849512660806,-0.122108248709812,0,0
0.66,14.5149709996792,-0.152406677359627,-0.124084529659914,0,0
0.67,14.4613310477218,-0.152406677359627,-0.125608596433511,0,0
0.68,14.4613310477218,-0.242849512660806,-0.127584877383613,0,0
0.69,14.4291470765473,-0.242849512660806,-0.130013372510221,0,0
0.7,14.3969631053729,-0.152406677359627,-0.131989653460323,0,0
0.71,14.3755071245899,-0.152406677359627,-0.133513720233919,0,0
0.72,14.3755071245899,-0.152406677359627,-0.135037787007516,0,0
0.73,14.311139182241,-0.152406677359627,-0.136561853781112,0,0
0.74,14.289683201458,-0.307772604848743,-0.138862750192154,0,0
0.75,14.1716753071517,-0.242849512660806,-0.141615860779701,0,0
0.76,14.311139182241,-0.242849512660806,-0.14404435590631,0,0
0.77,14.2574992302835,-0.307772604848743,-0.146797466493857,0,0
0.78,14.1716753071517,-0.242849512660806,-0.149550577081405,0,0
0.79,14.1716753071517,-0.307772604848743,-0.152303687668953,0,0
0.8,14.1073073648028,-0.307772604848743,-0.15538141371744,0,0
