Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,13.7103717203178,-0.242849512660806,0,855,65
0.01,13.7103717203178,-0.187466864989695,-0.00215158188825251,1655,0
0.02,13.6245477971859,-0.287763698423059,-0.00452773470531628,2387,0
0.03,13.6567317683604,-0.242849512660806,-0.0071808007607356,2986,0
0.04,13.5923638260115,-0.242849512660806,-0.00960929588734366,0,0
0.05,13.6245477971859,-0.242849512660806,-0.0120377910139517,0,0
0.06,13.5923638260115,-0.287763698423059,-0.014690857069371,0,0
0.07,13.5923638260115,-0.242849512660806,-0.0173439231247904,0,0
0.08,13.6245477971859,-0.242849512660806,-0.0197724182513984,0,0
0.09,13.6245477971859,-0.242849512660806,-0.0222009133780065,0,0
0.1,13.5923638260115,-0.152406677359627,-0.0241771943281087,0,0
0.11,13.5923638260115,-0.242849512660806,-0.0261534752782108,0,0
0.12,13.6567317683604,-0.152406677359627,-0.028129756228313,0,0
0.13,13.6245477971859,-0.242849512660806,-0.0301060371784152,0,0
0.14,13.6245477971859,-0.242849512660806,-0.0325345323050232,0,0
0.15,13.6567317683604,-0.152406677359627,-0.0345108132551254,0,0
0.16,13.6567317683604,-0.152406677359627,-0.0360348800287217,0,0
0.17,13.6567317683604,-0.242849512660806,-0.0380111609788238,0,0
0.18,13.6567317683604,-0.152406677359627,-0.039987441928926,0,0
0.19,13.6567317683604,-0.307772604848743,-0.0422883383399678,0,0
0.2,13.6567317683604,-0.152406677359627,-0.0445892347510097,0,0
0.21,13.6567317683604,-0.152406677359627,-0.046113301524606,0,0
0.22,13.6567317683604,-0.242849512660806,-0.0480895824747081,0,0
0.23,13.6245477971859,-0.242849512660806,-0.0505180776013162,0,0
0.24,13.6567317683604,-0.242849512660806,-0.0529465727279243,0,0
0.25,13.6567317683604,-0.242849512660806,-0.0553750678545323,0,0
0.26,13.5709078452285,-0.307772604848743,-0.0581281784420801,0,0
0.27,13.5709078452285,-0.344319672144806,-0.0613886398270478,0,0
0.28,13.5065399028796,-0.287763698423059,-0.0645490566798871,0,0
0.29,13.5065399028796,-0.287763698423059,-0.0674266936641177,0,0
0.3,13.4743559317051,-0.242849512660806,-0.070079759719537,0,0
0.31,13.4743559317051,-0.242849512660806,-0.0725082548461451,0,0
0.32,13.4743559317051,-0.242849512660806,-0.0749367499727532,0,0
0.33,13.4207159797477,-0.242849512660806,-0.0773652450993612,0,0
0.34,13.4528999509222,-0.152406677359627,-0.0793415260494634,0,0
0.35,13.4207159797477,-0.152406677359627,-0.0808655928230596,0,0
0.36,13.3348920566158,-0.307772604848743,-0.0831664892341015,0,0
0.37,13.4207159797477,-0.242849512660806,-0.0859195998216492,0,0
0.38,13.3348920566158,-0.307772604848743,-0.088672710409197,0,0
0.39,13.3348920566158,-0.242849512660806,-0.0914258209967447,0,0
0.4,13.3027080854414,-0.242849512660806,-0.0938543161233528,0,0
0.41,13.2812521046584,-0.307772604848743,-0.0966074267109005,0,0
0.42,13.2812521046584,-0.242849512660806,-0.0993605372984482,0,0
0.43,13.2168841623095,-0.242849512660806,-0.101789032425056,0,0
0.44,13.2168841623095,-0.307772604848743,-0.104542143012604,0,0
0.45,13.2168841623095,-0.344319672144806,-0.107802604397572,0,0
0.46,13.1525162199606,-0.307772604848743,-0.11106306578254,0,0
0.47,13.2168841623095,-0.242849512660806,-0.113816176370087,0,0
0.48,13.2168841623095,-0.242849512660806,-0.116244671496695,0,0
0.49,13.2168841623095,-0.242849512660806,-0.118673166623303,0,0
0.5,13.249068133484,-0.242849512660806,-0.121101661749911,0,0
0.51,13.249068133484,-0.152406677359627,-0.123077942700014,0,0
0.52,13.249068133484,-0.307772604848743,-0.125378839111055,0,0
0.53,13.3348920566158,-0.152406677359627,-0.127679735522097,0,0
0.54,13.3348920566158,-0.242849512660806,-0.129656016472199,0,0
0.55,13.3027080854414,-0.287763698423059,-0.132309082527619,0,0
0.56,13.3027080854414,-0.152406677359627,-0.134509934406532,0,0
0.57,13.3348920566158,-0.242849512660806,-0.136486215356634,0,0
0.58,13.3027080854414,-0.287763698423059,-0.139139281412054,0,0
0.59,13.249068133484,-0.287763698423059,-0.142016918396284,0,0
0.6,13.2168841623095,-0.242849512660806,-0.144669984451704,0,0
0.61,13.1739722007436,-0.242849512660806,-0.147098479578312,0,0
0.62,13.1525162199606,-0.307772604848743,-0.149851590165859,0,0
0.63,13.1525162199606,-0.152406677359627,-0.152152486576901,0,0
0.64,13.1203322487861,-0.242849512660806,-0.154128767527003,0,0
0.65,13.1203322487861,-0.242849512660806,-0.156557262653611,0,0
0.66,13.1203322487861,-0.152406677359627,-0.158533543603714,0,0
0.67,13.0666922968287,-0.152406677359627,-0.16005761037731,0,0
0.68,13.0666922968287,-0.242849512660806,-0.162033891327412,0,0
0.69,13.0666922968287,-0.307772604848743,-0.16478700191496,0,0
0.7,13.0345083256543,-0.242849512660806,-0.167540112502508,0,0
0.71,13.0345083256543,-0.242849512660806,-0.169968607629116,0,0
0.72,13.0023243544798,-0.242849512660806,-0.172397102755724,0,0
0.73,12.9701403833053,-0.242849512660806,-0.174825597882332,0,0
0.74,12.9486844025224,-0.287763698423059,-0.177478663937751,0,0
0.75,12.9165004313479,-0.152406677359627,-0.179679515816664,0,0
0.76,12.9701403833053,-0.242849512660806,-0.181655796766767,0,0
0.77,12.9486844025224,-0.242849512660806,-0.184084291893375,0,0
0.78,12.9701403833053,-0.307772604848743,-0.186837402480922,0,0
0.79,12.9486844025224,-0.187466864989695,-0.189313599830115,0,0
0.8,12.9165004313479,-0.307772604848743,-0.191789797179307,0,0
0.81,12.9486844025224,-0.344319672144806,-0.195050258564275,0,0
0.82,12.9486844025224,-0.242849512660806,-0.197986104488303,0,0
0.83,12.9486844025224,-0.307772604848743,-0.20073921507585,0,0
0.84,12.9165004313479,-0.344319672144806,-0.203999676460818,0,0
0.85,12.8843164601735,-0.344319672144806,-0.207442873182266,0,0
0.86,12.8843164601735,-0.344319672144806,-0.210886069903714,0,0
0.87,12.8628604793905,-0.307772604848743,-0.214146531288682,0,0
0.88,12.8628604793905,-0.216932836689902,-0.216770058496375,0,0
0.89,12.8199485178246,-0.152406677359627,-0.218616756066623,0,0
0.9,12.8199485178246,-0.216932836689902,-0.22046345363687,0,0
0.91,12.7555805754756,-0.216932836689902,-0.222632782003769,0,0
0.92,12.7555805754756,-0.242849512660806,-0.224931693750523,0,0
0.93,12.7877645466501,0.111894124921677,-0.225586470689219,0,0
0.94,12.7019406235182,0.111894124921677,-0.224467529440002,0,0
0.95,12.7341245946927,0.111894124921677,-0.223348588190785,0,0
0.96,12.7019406235182,-0.242849512660806,-0.224003365129481,0,0
0.97,12.6483006715608,-0.152406677359627,-0.225979646079583,0,0
0.98,12.6697566523438,-0.152406677359627,-0.227503712853179,0,0
0.99,12.5839327292119,-0.287763698423059,-0.229704564732093,0,0
1,12.5839327292119,-0.242849512660806,-0.232357630787512,0,0
1.01,12.5839327292119,-0.152406677359627,-0.234333911737614,0,0
1.02,12.5302927772545,-0.287763698423059,-0.236534763616527,0,0
1.03,12.49810880608,-0.242849512660806,-0.239187829671947,0,0
1.04,12.49810880608,-0.242849512660806,-0.241616324798555,0,0
1.05,12.49810880608,-0.287763698423059,-0.244269390853974,0,0
1.06,12.4659248349056,-0.242849512660806,-0.246922456909393,0,0
1.07,12.4444688541226,-0.307772604848743,-0.249675567496941,0,0
1.08,12.3693729213822,-0.287763698423059,-0.2526532490133,0,0
1.09,12.3693729213822,-0.242849512660806,-0.25530631506872,0,0
1.1,12.3693729213822,-0.307772604848743,-0.258059425656267,0,0
1.11,12.3693729213822,-0.242849512660806,-0.260812536243815,0,0
1.12,12.3693729213822,-0.152406677359627,-0.262788817193917,0,0
1.13,12.3479169405992,-0.242849512660806,-0.264765098144019,0,0
1.14,12.3693729213822,-0.242849512660806,-0.267193593270627,0,0
1.15,12.2513650270759,-0.287763698423059,-0.269846659326047,0,0
1.16,12.2513650270759,-0.242849512660806,-0.272499725381466,0,0
1.17,12.2835489982503,-0.287763698423059,-0.275152791436885,0,0
1.18,12.2299090462929,-0.307772604848743,-0.278130472953244,0,0
1.19,12.2835489982503,-0.242849512660806,-0.280883583540792,0,0
1.2,12.2299090462929,-0.287763698423059,-0.283536649596211,0,0
1.21,12.1977250751184,-0.242849512660806,-0.286189715651631,0,0
1.22,12.1977250751184,-0.242849512660806,-0.288618210778239,0,0
1.23,12.2299090462929,-0.242849512660806,-0.291046705904847,0,0
1.24,12.2299090462929,-0.242849512660806,-0.293475201031455,0,0
1.25,12.2513650270759,-0.242849512660806,-0.295903696158063,0,0
1.26,12.2513650270759,-0.287763698423059,-0.298556762213482,0,0
1.27,12.2513650270759,-0.242849512660806,-0.301209828268901,0,0
1.28,12.3157329694248,-0.152406677359627,-0.303186109219004,0,0
1.29,12.2513650270759,-0.242849512660806,-0.305162390169106,0,0
1.3,12.2835489982503,-0.242849512660806,-0.307590885295714,0,0
1.31,12.3479169405992,-0.152406677359627,-0.309567166245816,0,0
1.32,12.2513650270759,-0.242849512660806,-0.311543447195918,0,0
1.33,12.2513650270759,-0.344319672144806,-0.314479293119946,0,0
1.34,12.2513650270759,-0.287763698423059,-0.317639709972786,0,0
1.35,12.2513650270759,-0.152406677359627,-0.319840561851699,0,0
1.36,12.2835489982503,-0.242849512660806,-0.321816842801801,0,0
1.37,12.2835489982503,-0.287763698423059,-0.32446990885722,0,0
1.38,12.2513650270759,-0.242849512660806,-0.32712297491264,0,0
1.39,12.2513650270759,-0.152406677359627,-0.329099255862742,0,0
1.4,12.1977250751184,-0.152406677359627,-0.330623322636338,0,0
1.41,12.165541103944,-0.152406677359627,-0.332147389409934,0,0
1.42,12.144085123161,-0.152406677359627,-0.333671456183531,0,0
1.43,12.0797171808121,-0.216932836689902,-0.335518153753778,0,0
1.44,12.0797171808121,-0.152406677359627,-0.337364851324026,0,0
1.45,12.0475332096376,-0.216932836689902,-0.339211548894274,0,0
1.46,11.9938932576802,-0.152406677359627,-0.341058246464521,0,0
1.47,11.9938932576802,-0.152406677359627,-0.342582313238118,0,0
1.48,11.9617092865058,-0.152406677359627,-0.344106380011714,0,0
1.49,11.9617092865058,-0.152406677359627,-0.34563044678531,0,0
1.5,11.9080693345483,0.111894124921677,-0.3458330095475,0,0
1.51,11.9617092865058,-0.242849512660806,-0.346487786486196,0,0
1.52,11.9080693345483,-0.287763698423059,-0.349140852541615,0,0
1.53,11.9402533057228,-0.152406677359627,-0.351341704420528,0,0
1.54,11.9080693345483,-0.242849512660806,-0.353317985370631,0,0
1.55,11.8758853633739,-0.287763698423059,-0.35597105142605,0,0
1.56,11.9080693345483,-0.287763698423059,-0.35884868841028,0,0
1.57,11.8758853633739,-0.242849512660806,-0.3615017544657,0,0
1.58,11.8544293825909,-0.242849512660806,-0.363930249592308,0,0
1.59,11.8544293825909,-0.242849512660806,-0.366358744718916,0,0
1.6,11.8544293825909,-0.242849512660806,-0.368787239845524,0,0
1.61,11.8758853633739,-0.242849512660806,-0.371215734972132,0,0
1.62,11.8758853633739,-0.287763698423059,-0.373868801027551,0,0
1.63,11.811517421025,-0.152406677359627,-0.376069652906465,0,0
1.64,11.8758853633739,-0.152406677359627,-0.377593719680061,0,0
1.65,11.811517421025,-0.152406677359627,-0.379117786453657,0,0
1.66,11.8544293825909,-0.287763698423059,-0.381318638332571,0,0
1.67,11.8544293825909,-0.242849512660806,-0.38397170438799,0,0
1.68,11.7793334498505,-0.152406677359627,-0.385947985338092,0,0
1.69,11.8544293825909,-0.287763698423059,-0.388148837217006,0,0
1.7,11.811517421025,-0.242849512660806,-0.390801903272425,0,0
1.71,11.811517421025,-0.242849512660806,-0.393230398399033,0,0
1.72,11.7793334498505,-0.152406677359627,-0.395206679349135,0,0
1.73,11.7793334498505,-0.242849512660806,-0.397182960299237,0,0
1.74,11.7793334498505,-0.242849512660806,-0.399611455425845,0,0
1.75,11.7793334498505,-0.242849512660806,-0.402039950552453,0,0
1.76,11.7471494786761,-0.242849512660806,-0.404468445679061,0,0
1.77,11.7471494786761,-0.152406677359627,-0.406444726629164,0,0
1.78,11.6935095267186,-0.152406677359627,-0.40796879340276,0,0
1.79,11.6613255555442,-0.242849512660806,-0.409945074352862,0,0
1.8,11.6935095267186,-0.242849512660806,-0.41237356947947,0,0
1.81,11.6935095267186,-0.152406677359627,-0.414349850429572,0,0
1.82,11.6613255555442,-0.242849512660806,-0.416326131379674,0,0
1.83,11.6291415843697,-0.242849512660806,-0.418754626506282,0,0
1.84,11.5647736420208,-0.307772604848743,-0.42150773709383,0,0
1.85,11.5325896708464,-0.307772604848743,-0.424585463142318,0,0
1.86,11.6291415843697,-0.242849512660806,-0.427338573729865,0,0
1.87,11.5325896708464,-0.307772604848743,-0.430091684317413,0,0
1.88,11.4789497188889,-0.307772604848743,-0.4331694103659,0,0
1.89,11.5325896708464,-0.187466864989695,-0.435645607715093,0,0
1.9,11.5111336900634,-0.344319672144806,-0.438304540400765,0,0
1.91,11.5111336900634,-0.344319672144806,-0.441747737122213,0,0
1.92,11.4789497188889,-0.307772604848743,-0.445008198507181,0,0
1.93,11.4789497188889,-0.242849512660806,-0.447761309094729,0,0
1.94,11.4467657477145,-0.242849512660806,-0.450189804221337,0,0
1.95,11.4467657477145,-0.242849512660806,-0.452618299347945,0,0
1.96,11.3931257957571,-0.152406677359627,-0.454594580298047,0,0
1.97,11.4253097669315,-0.287763698423059,-0.45679543217696,0,0
1.98,11.3931257957571,-0.307772604848743,-0.459773113693319,0,0
1.99,11.4253097669315,-0.242849512660806,-0.462526224280867,0,0
2,11.3931257957571,-0.287763698423059,-0.465179290336286,0,0
2.01,11.3609418245826,0.0245818027557917,-0.466495199814623,0,0
2.02,11.3931257957571,-0.242849512660806,-0.467586538364148,0,0
